#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
384382:9996,08/12/24 23:17:40,159,159,0.075090348,0.069747860
384383:9996,08/13/24 01:10:37,1000,1000,0.393653554,0.371602525
384406:10000,08/13/24 14:20:29,599,599,0.272459432,0.254749393
384413:10001,08/13/24 20:26:14,1950,1950,0.836264576,0.785078671
384446:10002,08/14/24 12:08:34,244,244,0.112836092,0.104970033
384464:10004,08/14/24 18:47:13,248,248,0.106510712,0.099574353
384468:10005,08/14/24 23:38:21,1912,1912,0.823416865,0.764671838
384485:10006,08/15/24 14:45:03,96,94,0.030850034,0.028696714
384486:10006,08/15/24 15:25:50,34,34,0.016056053,0.014403081
384487:10006,08/15/24 15:42:19,30,30,0.014189140,0.012818247
384489:10006,08/15/24 16:02:32,29,29,0.013695729,0.012130313
384490:10006,08/15/24 16:17:13,32,31,0.015094477,0.013151201
384491:10006,08/15/24 16:32:41,31,31,0.014607448,0.013352745
384492:10006,08/15/24 16:48:32,1611,1611,0.700176357,0.656252356
384565:10010,08/16/24 21:29:08,1711,1711,0.764598479,0.706906191
384579:10012,08/17/24 11:16:57,538,538,0.241208166,0.223616488
384591:10013,08/17/24 17:20:39,157,157,0.060342054,0.055106482
384593:10013,08/17/24 18:32:49,137,137,0.064809940,0.059915844
384610:10014,08/17/24 22:43:48,405,405,0.148806465,0.141503059
384614:10016,08/18/24 05:44:59,1255,1255,0.578354106,0.537031310
384638:10017,08/18/24 17:19:49,532,532,0.242816833,0.215016435
384644:10017,08/18/24 21:25:07,1046,1046,0.464144358,0.422844908
384933:10049,08/23/24 19:17:08,623,623,0.283044663,0.264917993
384934:10049,08/23/24 23:22:15,4,4,0.001838375,0.001653911
384935:10049,08/23/24 23:30:44,1327,1327,0.535944923,0.513185231
384950:10050,08/24/24 09:59:15,176,176,0.075239550,0.068030752
384951:10050,08/24/24 11:11:49,961,961,0.455305213,0.427961066
384963:10052,08/24/24 21:20:42,2106,2106,0.914764085,0.865539193
384981:10056,08/25/24 14:30:56,2101,2101,0.911042050,0.861979536
385012:10059,08/26/24 14:29:58,275,275,0.119112340,0.110952990
385016:10061,08/26/24 19:27:38,778,778,0.358773042,0.335244622
385094:10066,08/28/24 20:30:28,951,951,0.440651471,0.414204485
385100:10068,08/29/24 06:12:48,17,17,0.003017832,0.002818485
385127:10069,08/29/24 11:21:07,2039,2039,0.871146019,0.825127884
385134:10070,08/30/24 02:46:58,304,304,0.134076405,0.126146800
385142:10072,08/30/24 07:48:37,1936,1936,0.830723177,0.784410647
385152:10073,08/31/24 00:23:41,1160,1160,0.535344355,0.498892222
385153:10073,08/31/24 07:59:36,852,852,0.325242263,0.309915146
385168:10074,08/31/24 17:44:44,2056,2056,0.884702016,0.836420947
385178:10075,09/01/24 09:25:43,504,504,0.224807848,0.209966317
385194:10077,09/01/24 18:18:28,1401,1401,0.646676109,0.603143622
385260:10082,09/03/24 09:38:15,543,543,0.247122347,0.230334702
385281:10084,09/03/24 18:30:31,1389,1389,0.641353580,0.602759205
385284:10084,09/04/24 04:04:19,133,133,0.052594514,0.050171150
385285:10084,09/04/24 05:07:39,289,289,0.100042139,0.093605665
385286:10084,09/04/24 07:10:58,1447,1447,0.347275463,0.337701560
385311:10086,09/04/24 20:10:28,106,106,0.038387977,0.032396428
385312:10086,09/04/24 20:55:00,430,430,0.203847752,0.190825719
385324:10087,09/05/24 04:16:47,1836,1836,0.796172129,0.749702215
385354:10090,09/05/24 23:32:09,802,802,0.369147064,0.344890800
385355:10090,09/06/24 04:45:28,950,950,0.411816845,0.387817206
385383:10091,09/06/24 14:25:32,360,360,0.161290498,0.150841525
385386:10091,09/06/24 17:28:58,10,10,0.004717060,0.004230266
385387:10091,09/06/24 17:42:59,365,365,0.172846460,0.161871978
385390:10092,09/06/24 22:13:08,1652,1652,0.754229849,0.708100722
385391:10092,09/07/24 08:58:33,542,542,0.179531043,0.172423822
385408:10093,09/07/24 16:43:27,409,409,0.183934526,0.173547933
385415:10094,09/07/24 21:29:08,508,508,0.230967211,0.217383905
385422:10095,09/08/24 04:08:23,1114,1114,0.517465226,0.480462566
385423:10095,09/08/24 11:26:06,396,396,0.179813437,0.166468928
385424:10095,09/08/24 14:01:18,636,636,0.220136025,0.208788189
385437:10096,09/08/24 20:29:56,779,779,0.360407180,0.335288472
385443:10097,09/09/24 03:51:29,1555,1555,0.713802731,0.670238231
385444:10097,09/09/24 14:11:45,154,154,0.057116621,0.054311750
385447:10097,09/09/24 15:16:47,172,172,0.058984982,0.056786555
385474:10098,09/09/24 19:24:24,719,719,0.327244702,0.306988278
385478:10099,09/10/24 02:09:42,646,646,0.296261358,0.268441753
